"ID","Company","Incident_date","Days_of_the_Wk","Months_of_the_Yr","Years","Contaminant","Type_of_fa","Cause","Site_locat","Latitude","Longitude","LGA","States_affected","Spill_area","MoY","DoW"
"1","SPDC","2010-01-03","Sun","Jan","2010","cr"," ","sab","12"" IMR-EBUBU T/L AT KOMKOM","4.878083","7.172556","Oyigbo","RI","la","1","1"
"2","SPDC","2010-01-03","Sun","Jan","2010","cr"," ","sab","8"" ISIMIRI D/L AT ISIMIRI","4.878194","7.230583","Ukwa West","AB","sw","1","1"
"3","NAOC","2010-01-05","Tue","Jan","2010","cr"," ","sab","24"" OGODA/BRASS P/L ODAU","4.8335556","6.4988889","Abua-Odual","RI","la","1","3"
"4","SPDC","2010-01-05","Tue","Jan","2010","cr"," ","sab","Kokori d\L","5.597444","6.068583","Ughelli-North","DE","la","1","3"
"5","NAOC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS P/L AT OGONIGBENE 1 M8 RISER","4.4748889","6.1278333","Brass","BY","sw","1","4"
"6","SPDC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" ASSA-RUMUEKPE AT EGBEDA","5.2405","6.770139","Emuoha","RI","la","1","4"
"7","SPDC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" ASSA-RUMUEKPE AT AWARA","5.287944","6.781194","Ohaji/Egbema","IM","la","1","4"
"8","SPDC","2010-01-07","Thu","Jan","2010","cr"," ","sab","24"" TNP AT BERA 1","4.678333","7.27675","Gokana","RI","la","1","5"
"9","SPDC","2010-01-07","Thu","Jan","2010","cr"," ","sab","10"" D/L AT EGBEMA WEST","5.563944","6.728944","Ohaji/Egbema","IM","la","1","5"
"10","NAOC","2010-01-08","Fri","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS P/L AT OYEREGBENE","4.5052056","6.0559667","Southern Ijaw","BY","sw","1","6"
"11","CHEVRON","2010-01-08","Fri","Jan","2010","cr","pl","sab","Utonan-Abiteye 16"" Warri Southwest L.G.A., Delta State.","5.6994444","5.3316667","Warri-South-West","DE","sw","1","6"
"12","SPDC","2010-01-10","Sun","Jan","2010","cr"," ","sab","OGINI WELL 7LS","5.5665","6.325417","Isoko-North","DE","la","1","1"
"13","NAOC","2010-01-12","Tue","Jan","2010","gs"," ","sab","8"" FUEL GAS DELIVERY LINE @ KM 42","5.09525","6.8889722","Ikwerre","RI","la","1","3"
"14","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","6"" BENIBOYE @ OKUNTU","5.3401944","5.3644444","Burutu","DE","sw","1","4"
"15","SPDC","2010-01-13","Wed","Jan","2010","cr"," ","sab","IMOR 2 W/28 AT ADAGWA","4.991722","7.160972","Etche","RI","la","1","4"
"16","NAOC","2010-01-13","Wed","Jan","2010","gs"," ","sab","ODUGRI 5L F/L AT ODUGRI, ONELGA","5.6564694","6.6293556","Ogba/Egbema/Ndoni","RI","la","1","4"
"17","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","IDU 6L F/L NEAR IDU MANIFOLD, ONELGA","5.2598361","6.5734944","Ogba/Egbema/Ndoni","RI","la","1","4"
"18","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","14"" OGBOINBIRI/TEBIDABA AT AZUZUAMA/KROKROSEI","4.7397778","5.9754444","Southern Ijaw","BY","sw","1","4"
"19","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732944","6.955694","Degema","RI","sw","1","2"
"20","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BUGUMA","4.732806","6.958083","Degema","RI","sw","1","2"
"21","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732806","6.958083","Degema","RI","sw","1","2"
"22","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732806","6.958083","Degema","RI","sw","1","2"
"23","NAOC","2010-01-18","Mon","Jan","2010","gs"," ","sab","OBIAFU 27T F/L AT LOCATION AREA","5.4230861","6.611875","Ogba/Egbema/Ndoni","RI","la","1","2"
"24","NAOC","2010-01-18","Mon","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS F/L@ OYEREBGENE(2)","4.5051944","6.0559167","Southern Ijaw","BY","sw","1","2"
"25","NAOC","2010-01-22","Fri","Jan","2010","gs"," ","sab","EBEGORO 12S F/L AT LOCATION AREA","5.3646194","6.6680444","Ogba/Egbema/Ndoni","RI","la","1","6"
"26","SPDC","2010-01-25","Mon","Jan","2010","cr"," ","sab","8"" ISIMIRI D/L AT OBEAKPU","4.883944","7.203361","Ukwa West","AB","la","1","2"
"27","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" NEMBE SOUTH P/L AT KIMINIM IGAKUBURI","4.6018611","6.3120556","Nembe","BY","sw","1","3"
"28","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 3","4.6213333","6.1967222","Southern Ijaw","BY","sw","1","3"
"29","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 2","4.6213333","6.1967222","Southern Ijaw","BY","sw","1","3"
"30","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 1","4.6213056","6.1967222","Southern Ijaw","BY","sw","1","3"
"31","NAOC","2010-02-01","Mon","Feb","2010","cr"," ","sab","8"" NEMBE SOUTH/OBAMA P/L AT SABATORU 1","4.6036667","6.33375","Nembe","BY","sw","2","2"
"32","NAOC","2010-02-01","Mon","Feb","2010","cr"," ","sab","EOC 9T F/L ALONG OLD EOC FERRY","5.4307861","6.5809889","Ogba/Egbema/Ndoni","RI","la","2","2"
"33","NAOC","2010-02-02","Tue","Feb","2010","gs"," ","sab","OSHIE 2S NEAR ORASHIE RIVER CROSSING","5.1001611","6.5045556","Ahoada West","RI","la","2","3"
"34","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","OBIAFU 31S F/L ALONG LOCATION ROAD","5.4423306","6.6015444","Ogba/Egbema/Ndoni","RI","la","2","3"
"35","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","OBIAFU 37T F/L BEHIND LOCATION FENCE","5.3991611","6.5809889","Ogba/Egbema/Ndoni","RI","la","2","3"
"36","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA P/L AT AZUZUAMA(2)","4.6778611","5.9039722","Southern Ijaw","BY","sw","2","3"
"37","NAOC","2010-02-07","Sun","Feb","2010","cr"," ","sab","18"" EOC/OGODA D/L P/L AT OKPOSI","5.3129972","6.6366472","Ogba/Egbema/Ndoni","RI","la","2","1"
"38","SPDC","2010-02-07","Sun","Feb","2010","gs"," ","sab","ODIDI 2F/S USEFA WEE HEAD","5.576111","5.41975","Warri-South-West","DE"," ","2","1"
"39","NAOC","2010-02-08","Mon","Feb","2010","cr"," ","sab","4"" OBIAFU 17T F/L AFTER EDIA CREEK","5.4027778","6.5804583","Ogba/Egbema/Ndoni","RI","la","2","2"
